product_id,name,category,price_usd,stock_qty,tax_rate,shipping_weight_kg,coupon_code
P001,Wireless Earbuds,Electronics,49.99,120,0.10,0.05,SUMMER10
P002,Smartphone Stand,Accessories,15.50,240,0.08,0.12,STAND5
P003,USB-C Fast Charger,Electronics,24.99,180,0.10,0.08,CHARGE5
P004,Travel Backpack,Travel,69.99,75,0.12,0.75,BACKPACK15
P005,Stainless Steel Water Bottle,Home,22.00,210,0.08,0.35,BOTTLE5
P006,LED Desk Lamp,Home,34.50,95,0.08,1.10,LAMP10
P007,Noise-Cancelling Headphones,Electronics,129.90,45,0.10,0.30,HEAD20
P008,Yoga Mat,Fitness,29.99,160,0.08,1.20,YOGA5
P009,Wireless Mouse,Electronics,19.99,200,0.10,0.10,MOUSE3
P010,Portable Bluetooth Speaker,Electronics,58.00,90,0.10,0.40,SPEAKER10
P011,Cotton T-Shirt,Fashion,18.00,320,0.12,0.20,TSHIRT15
P012,Running Shoes,Fashion,89.99,65,0.12,0.90,SHOES20
P013,Smartwatch Band,Accessories,12.50,150,0.08,0.05,BAND5
P014,Kitchen Knife Set,Home,79.99,55,0.08,1.50,KNIFE10
P015,Bamboo Cutting Board,Home,25.00,130,0.08,0.80,BOARD5
P016,Organic Face Cream,Beauty,32.00,100,0.10,0.15,CREAM10
P017,Kids Puzzle Toy,Toys,16.99,140,0.08,0.25,PUZZLE5
P018,Electric Kettle,Home,44.99,70,0.08,1.20,KETTLE10
P019,Gaming Keyboard,Electronics,74.99,60,0.10,0.80,KEYBOARD15
P020,Pet Grooming Brush,Pet,14.99,130,0.08,0.10,PETBRUSH5
P021,4K Action Camera,Electronics,149.99,38,0.10,0.42,CAMERA20
P022,Magnetic Phone Charger,Electronics,27.99,155,0.10,0.09,MAGCHARGE8
P023,Laptop Sleeve,Accessories,21.50,180,0.08,0.22,SLEEVE5
P024,RFID Travel Wallet,Travel,19.99,115,0.12,0.18,WALLET7
P025,Compression Packing Cubes,Travel,31.99,88,0.12,0.45,PACK10
P026,Aroma Diffuser,Home,39.99,76,0.08,0.65,DIFFUSER10
P027,Memory Foam Pillow,Home,54.99,52,0.08,1.35,PILLOW12
P028,Resistance Bands Set,Fitness,18.99,170,0.08,0.30,BANDS5
P029,Digital Body Scale,Fitness,36.50,92,0.08,1.10,SCALE8
P030,Denim Jacket,Fashion,64.99,48,0.12,0.70,JACKET15
P031,Classic Baseball Cap,Fashion,16.50,220,0.12,0.16,CAP5
P032,Vitamin C Serum,Beauty,28.00,105,0.10,0.12,SERUM10
P033,Matte Lip Tint,Beauty,13.99,190,0.10,0.05,LIP5
P034,STEM Building Blocks,Toys,24.99,135,0.08,0.55,BLOCKS8
P035,Remote Control Car,Toys,42.99,66,0.08,0.90,RCCAR10
P036,Cat Scratching Pad,Pet,17.99,144,0.08,0.40,CATPAD5
P037,Automatic Pet Feeder,Pet,79.99,42,0.08,1.80,FEEDER15
P038,Reusable Grocery Bags,Home,12.99,260,0.08,0.25,BAG5
P039,Smart LED Light Strip,Electronics,32.99,98,0.10,0.28,LEDSTRIP10
P040,Ergonomic Office Chair,Home,189.99,24,0.08,12.50,CHAIR25
